date,sales,prix,wday,month,snap_WI
2011-09-23,111.0,1.28,7,9,0
2011-09-24,168.0,1.28,1,9,0
2011-09-25,162.0,1.28,2,9,0
2011-09-26,127.0,1.28,3,9,0
2011-09-27,72.0,1.28,4,9,0
2011-09-28,58.0,1.28,5,9,0
2011-09-29,100.0,1.28,6,9,0
2011-09-30,133.0,1.28,7,9,0
2011-10-01,166.0,1.28,1,10,0
2011-10-02,207.0,1.28,2,10,1
2011-10-03,116.0,1.28,3,10,1
2011-10-04,85.0,1.28,4,10,0
2011-10-05,102.0,1.28,5,10,1
2011-10-06,102.0,1.28,6,10,1
2011-10-07,227.0,1.28,7,10,0
2011-10-08,182.0,1.28,1,10,1
2011-10-09,176.0,1.28,2,10,1
2011-10-10,79.0,1.28,3,10,0
2011-10-11,85.0,1.28,4,10,1
2011-10-12,112.0,1.28,5,10,1
2011-10-13,100.0,1.28,6,10,0
2011-10-14,155.0,1.28,7,10,1
2011-10-15,168.0,1.28,1,10,1
2011-10-16,184.0,1.28,2,10,0
2011-10-17,110.0,1.28,3,10,0
2011-10-18,75.0,1.28,4,10,0
2011-10-19,53.0,1.28,5,10,0
2011-10-20,71.0,1.28,6,10,0
2011-10-21,102.0,1.28,7,10,0
2011-10-22,145.0,1.28,1,10,0
2011-10-23,97.0,1.28,2,10,0
2011-10-24,82.0,1.28,3,10,0
2011-10-25,57.0,1.28,4,10,0
2011-10-26,82.0,1.28,5,10,0
2011-10-27,113.0,1.28,6,10,0
2011-10-28,168.0,1.28,7,10,0
2011-10-29,173.0,1.28,1,10,0
2011-10-30,107.0,1.28,2,10,0
2011-10-31,55.0,1.28,3,10,0
2011-11-01,69.0,1.28,4,11,0
2011-11-02,94.0,1.28,5,11,1
2011-11-03,100.0,1.28,6,11,1
2011-11-04,130.0,1.28,7,11,0
2011-11-05,140.0,1.28,1,11,1
2011-11-06,149.0,1.28,2,11,1
2011-11-07,84.0,1.28,3,11,0
2011-11-08,66.0,1.28,4,11,1
2011-11-09,95.0,1.28,5,11,1
2011-11-10,118.0,1.28,6,11,0
2011-11-11,125.0,1.28,7,11,1
2011-11-12,156.0,1.28,1,11,1
2011-11-13,114.0,1.28,2,11,0
2011-11-14,91.0,1.28,3,11,1
2011-11-15,100.0,1.28,4,11,1
2011-11-16,83.0,1.28,5,11,0
2011-11-17,75.0,1.28,6,11,0
2011-11-18,119.0,1.28,7,11,0
2011-11-19,106.0,1.28,1,11,0
2011-11-20,107.0,1.28,2,11,0
2011-11-21,91.0,1.28,3,11,0
2011-11-22,92.0,1.28,4,11,0
2011-11-23,163.0,1.28,5,11,0
2011-11-24,101.0,1.28,6,11,0
2011-11-25,100.0,1.28,7,11,0
2011-11-26,96.0,1.28,1,11,0
2011-11-27,91.0,1.28,2,11,0
2011-11-28,39.0,1.28,3,11,0
2011-11-29,94.0,1.28,4,11,0
2011-11-30,69.0,1.28,5,11,0
2011-12-01,66.0,1.28,6,12,0
2011-12-02,173.0,1.28,7,12,1
2011-12-03,200.0,1.28,1,12,1
2011-12-04,149.0,1.28,2,12,0
2011-12-05,112.0,1.28,3,12,1
2011-12-06,93.0,1.28,4,12,1
2011-12-07,81.0,1.28,5,12,0
2011-12-08,126.0,1.28,6,12,1
2011-12-09,116.0,1.28,7,12,1
2011-12-10,166.0,1.28,1,12,0
2011-12-11,128.0,1.28,2,12,1
2011-12-12,114.0,1.28,3,12,1
2011-12-13,75.0,1.28,4,12,0
2011-12-14,96.0,1.28,5,12,1
2011-12-15,103.0,1.28,6,12,1
2011-12-16,178.0,1.28,7,12,0
2011-12-17,148.0,1.28,1,12,0
2011-12-18,102.0,1.28,2,12,0
2011-12-19,222.0,1.28,3,12,0
2011-12-20,2.0,1.28,4,12,0
2011-12-21,101.36602363627827,1.28,5,12,0
2011-12-22,4.0,1.28,6,12,0
2011-12-23,10.0,1.28,7,12,0
2011-12-24,288.0,1.48,1,12,0
