date,sales,prix,wday,month,event_name_1,event_type_1,snap_WI,temp,feelslike,humidity,precip,preciptype,windspeed,visibility,cloudcover,uvindex
2011-09-23,111.0,1.28,7,9,no_event,no_event,0,8.6,8.6,81.8,0.0,no_precip,11.8,15.8,71.0,6
2011-09-24,168.0,1.28,1,9,no_event,no_event,0,9.6,9.4,83.6,0.0,no_precip,23.6,11.2,68.1,5
2011-09-25,162.0,1.28,2,9,no_event,no_event,0,11.9,11.6,89.6,9.953,rain,17.5,13.3,89.1,4
2011-09-26,127.0,1.28,3,9,no_event,no_event,0,13.3,13.3,84.3,28.804,rain,42.7,10.6,91.3,3
2011-09-27,72.0,1.28,4,9,no_event,no_event,0,13.7,13.7,83.9,1.459,rain,22.4,13.7,84.7,5
2011-09-28,58.0,1.28,5,9,no_event,no_event,0,14.3,14.2,76.7,0.003,rain,12.9,11.7,52.9,7
2011-09-29,100.0,1.28,6,9,no_event,no_event,0,12.7,12.7,83.0,4.954,rain,36.9,12.6,65.9,7
2011-09-30,133.0,1.28,7,9,no_event,no_event,0,10.4,9.0,61.3,0.288,rain,35.0,16.0,40.2,7
2011-10-01,166.0,1.28,1,10,no_event,no_event,0,7.1,6.0,72.6,0.0,no_precip,14.6,15.9,5.2,7
2011-10-02,207.0,1.28,2,10,no_event,no_event,1,9.1,9.1,69.4,0.0,no_precip,9.4,14.0,1.8,7
2011-10-03,116.0,1.28,3,10,no_event,no_event,1,13.1,13.1,70.0,0.0,no_precip,14.4,15.9,0.0,7
2011-10-04,85.0,1.28,4,10,no_event,no_event,0,13.7,13.7,69.4,0.0,no_precip,12.8,14.3,6.4,7
2011-10-05,102.0,1.28,5,10,no_event,no_event,1,15.7,15.7,64.6,0.0,no_precip,17.8,14.8,0.0,7
2011-10-06,102.0,1.28,6,10,no_event,no_event,1,17.1,17.1,64.8,0.0,no_precip,20.4,13.8,0.0,7
2011-10-07,227.0,1.28,7,10,no_event,no_event,0,20.8,20.8,55.8,0.0,no_precip,33.3,16.0,1.1,7
2011-10-08,182.0,1.28,1,10,no_event,no_event,1,21.4,21.3,53.7,0.0,no_precip,20.6,16.0,0.0,7
2011-10-09,176.0,1.28,2,10,no_event,no_event,1,17.6,17.6,65.2,0.0,no_precip,18.2,16.0,5.3,7
2011-10-10,79.0,1.28,3,10,ColumbusDay,National,0,16.5,16.5,66.3,0.0,no_precip,20.3,13.3,7.3,6
2011-10-11,85.0,1.28,4,10,no_event,no_event,1,18.6,18.6,68.0,0.006,rain,23.8,15.7,60.4,6
2011-10-12,112.0,1.28,5,10,no_event,no_event,1,15.9,15.9,85.7,6.3,rain,19.3,9.7,82.7,5
2011-10-13,100.0,1.28,6,10,no_event,no_event,0,15.0,15.0,82.8,17.638,rain,18.5,11.0,78.6,5
2011-10-14,155.0,1.28,7,10,no_event,no_event,1,11.1,10.5,62.0,0.0,no_precip,29.0,16.0,37.5,6
2011-10-15,168.0,1.28,1,10,no_event,no_event,1,11.6,10.7,52.8,0.48,rain,29.7,16.0,36.6,7
2011-10-16,184.0,1.28,2,10,no_event,no_event,0,11.6,11.5,53.6,0.0,no_precip,26.1,16.0,58.9,7
2011-10-17,110.0,1.28,3,10,no_event,no_event,0,9.6,8.5,47.1,0.0,no_precip,23.3,16.0,1.1,4
2011-10-18,75.0,1.28,4,10,no_event,no_event,0,7.1,5.9,64.1,0.0,no_precip,20.8,16.0,56.0,4
2011-10-19,53.0,1.28,5,10,no_event,no_event,0,6.9,3.1,70.2,0.0,no_precip,38.1,15.9,89.6,5
2011-10-20,71.0,1.28,6,10,no_event,no_event,0,6.9,3.4,62.5,0.0,no_precip,34.4,16.0,87.1,6
2011-10-21,102.0,1.28,7,10,no_event,no_event,0,5.9,5.2,64.5,0.0,no_precip,12.9,16.0,8.7,6
2011-10-22,145.0,1.28,1,10,no_event,no_event,0,8.0,7.9,65.2,0.0,no_precip,10.6,15.9,4.3,6
2011-10-23,97.0,1.28,2,10,no_event,no_event,0,9.0,9.0,73.2,5.178,rain,14.3,14.8,61.9,4
2011-10-24,82.0,1.28,3,10,no_event,no_event,0,10.2,9.6,69.3,0.0,no_precip,20.9,16.0,12.5,6
2011-10-25,57.0,1.28,4,10,no_event,no_event,0,12.0,11.4,72.5,0.695,rain,26.3,15.1,79.6,4
2011-10-26,82.0,1.28,5,10,no_event,no_event,0,6.7,4.1,78.0,0.0,no_precip,27.2,15.1,76.8,3
2011-10-27,113.0,1.28,6,10,no_event,no_event,0,5.5,5.2,74.3,0.291,rain,13.8,15.9,55.2,4
2011-10-28,168.0,1.28,7,10,no_event,no_event,0,4.7,4.5,72.8,0.534,rain,23.2,12.7,36.3,6
2011-10-29,173.0,1.28,1,10,no_event,no_event,0,3.8,3.3,67.9,0.0,no_precip,11.2,13.6,25.6,5
2011-10-30,107.0,1.28,2,10,no_event,no_event,0,7.2,4.8,62.9,0.707,rain,25.7,15.9,88.2,5
2011-10-31,55.0,1.28,3,10,Halloween,Cultural,0,6.8,6.0,72.3,0.0,no_precip,10.8,16.0,86.1,4
2011-11-01,69.0,1.28,4,11,no_event,no_event,0,9.6,8.5,66.9,0.0,no_precip,25.5,14.6,21.0,5
2011-11-02,94.0,1.28,5,11,no_event,no_event,1,8.9,7.0,77.8,19.73,rain,30.2,12.1,95.5,1
2011-11-03,100.0,1.28,6,11,no_event,no_event,1,4.6,1.5,81.5,0.064,rain,31.9,16.0,40.6,3
2011-11-04,130.0,1.28,7,11,no_event,no_event,0,3.2,2.5,76.1,0.0,no_precip,15.3,15.6,0.9,5
2011-11-05,140.0,1.28,1,11,no_event,no_event,1,6.9,4.7,69.7,0.0,no_precip,27.5,15.7,1.1,5
2011-11-06,149.0,1.28,2,11,no_event,no_event,1,11.3,10.2,70.6,0.0,no_precip,27.4,15.4,45.1,2
2011-11-07,84.0,1.28,3,11,EidAlAdha,Religious,0,7.4,7.2,60.7,0.0,no_precip,11.6,15.5,6.0,5
2011-11-08,66.0,1.28,4,11,no_event,no_event,1,5.4,1.8,84.1,20.846,rain,27.0,10.8,99.9,1
2011-11-09,95.0,1.28,5,11,no_event,no_event,1,2.8,-1.9,88.7,27.781,"rain,snow",36.7,8.0,79.3,2
2011-11-10,118.0,1.28,6,11,no_event,no_event,0,1.5,-1.6,75.8,0.242,"rain,snow",17.3,13.5,78.3,3
2011-11-11,125.0,1.28,7,11,VeteransDay,National,1,2.3,-0.5,67.7,0.0,no_precip,23.9,16.0,27.6,5
2011-11-12,156.0,1.28,1,11,no_event,no_event,1,7.3,6.4,68.4,0.0,no_precip,30.8,15.8,4.7,5
2011-11-13,114.0,1.28,2,11,no_event,no_event,0,11.6,10.7,71.3,0.0,no_precip,24.1,16.0,43.5,5
2011-11-14,91.0,1.28,3,11,no_event,no_event,1,7.7,6.9,69.0,0.268,rain,23.8,15.8,41.5,4
2011-11-15,100.0,1.28,4,11,no_event,no_event,1,7.2,5.7,57.4,0.0,no_precip,27.5,16.0,17.5,5
2011-11-16,83.0,1.28,5,11,no_event,no_event,0,1.4,-2.3,45.1,0.0,no_precip,24.0,16.0,4.8,5
2011-11-17,75.0,1.28,6,11,no_event,no_event,0,-2.4,-6.4,51.7,0.0,no_precip,24.2,16.0,6.9,5
2011-11-18,119.0,1.28,7,11,no_event,no_event,0,4.4,0.5,44.9,0.0,no_precip,32.2,16.0,5.4,3
2011-11-19,106.0,1.28,1,11,no_event,no_event,0,6.6,4.3,60.7,0.0,no_precip,21.3,15.7,95.4,2
2011-11-20,107.0,1.28,2,11,no_event,no_event,0,2.1,-1.5,75.8,0.0,no_precip,24.1,15.8,98.7,4
2011-11-21,91.0,1.28,3,11,no_event,no_event,0,1.0,-1.4,78.2,0.0,no_precip,14.4,15.7,50.9,5
